"gender","age","marital_status","highest_qualification","nationality","gross_income","region","smoke"
"Male",38,"Separated","Without","British","Low","The North","No"
"Female",42,"Single","Without","British","Low","The North","Yes"
"Male",40,"Married","University","English","High","The North","No"
"Female",40,"Married","University","English","Moderate","The North","No"
"Female",39,"Married","GCSE","British","Low","The North","No"
"Female",37,"Married","GCSE","British","Moderate","The North","No"
"Male",53,"Married","University","British","High","The North","Yes"
"Male",44,"Single","University","English","Moderate","The North","No"
"Male",40,"Single","GCSE","English","Low","The North","Yes"
"Female",41,"Married","Without","English","Low","The North","Yes"
"Male",72,"Separated","Without","English","Moderate","The North","No"
"Male",29,"Married","University","English","High","The North","No"
"Female",79,"Separated","Without","English","Moderate","The North","No"
"Male",25,"Single","University","English","Moderate","The North","No"
"Female",27,"Single","University","English","Moderate","The North","No"
"Female",30,"Single","University","English","Moderate","The North","No"
"Male",47,"Separated","Without","British","Moderate","The North","No"
"Female",69,"Single","Sub Degree","English","Low","The North","No"
"Male",55,"Married","Without","English","Moderate","The North","No"
"Female",34,"Married","GCSE","British","Low","The North","Yes"
"Female",36,"Married","GCSE","English","Low","The North","Yes"
"Female",56,"Married","Without","English","Low","The North","Yes"
"Female",38,"Married","Without","English","Low","The North","No"
"Female",79,"Married","Without","English","Low","The North","No"
"Female",58,"Separated","Without","English","Low","The North","Yes"
"Female",69,"Married","Without","British","Low","The North","No"
"Male",83,"Separated","Without","English","Low","The North","No"
"Female",73,"Separated","Without","English","Low","The North","No"
"Female",31,"Married","GCSE","English","Low","The North","Yes"
"Male",26,"Single","GCSE","English","Low","The North","No"
"Female",27,"Separated","University","English","Moderate","The North","No"
"Female",57,"Married","Sub Degree","English","Moderate","The North","No"
"Female",30,"Married","ONC","English","Low","The North","No"
"Female",22,"Single","A Levels","English","Low","The North","No"
"Female",78,"Separated","Without","English","Low","The North","Yes"
"Female",49,"Married","ONC","English","Moderate","The North","No"
"Male",74,"Married","Sub Degree","English","Moderate","The North","No"
"Male",85,"Separated","University","Scottish","Moderate","The North","No"
"Female",80,"Separated","GCSE","British","Low","The North","No"
"Female",37,"Married","University","British","Low","The North","No"
"Female",33,"Single","University","British","Moderate","The North","No"
"Male",41,"Separated","A Levels","English","Moderate","The North","No"
"Female",81,"Separated","Without","British","Low","The North","No"
"Female",76,"Separated","Without","English","Low","The North","Yes"
"Female",58,"Married","A Levels","British","Moderate","The North","No"
"Male",59,"Married","Sub Degree","English","Moderate","The North","Yes"
"Female",40,"Separated","GCSE","English","Low","The North","Yes"
"Female",54,"Separated","GCSE","British","Moderate","The North","No"
"Male",49,"Married","University","Scottish","High","The North","No"
"Female",79,"Separated","Without","English","Low","The North","No"
"Male",28,"Married","Sub Degree","British","Moderate","The North","Yes"
"Male",44,"Married","Sub Degree","English","Low","The North","No"
"Female",42,"Single","GCSE","British","Moderate","The North","No"
